"","NCT.Number","Study.Title","Study.Status","Brief.Summary","Study.Results","Conditions","Interventions","Primary.Outcome.Measures","Sex","Age","Phases","Enrollment","Funder.Type","Study.Type","Study.Design","Start.Date","Primary.Completion.Date","Completion.Date","First.Posted","Results.First.Posted","Last.Update.Posted","Locations","type_intervention"
"444","NCT06077422","Exparel vs. Marcaine ESP Block for Post-cardiac Surgical Pain","RECRUITING","The goal of this pilot study is to describe and compare Ultrasound-Guided Erector Spinae Plane (ESP) Blocks using Exparel® (bupivacaine liposome injectable suspension) to Marcaine® (bupivacaine hydrochloride) for pain management and outcomes after cardiac surgeries.","NO","Pain, Postoperative|Opioid Use|Perioperative Complication|Heart Diseases","DRUG: bupivacaine liposome injectable suspension|DRUG: Bupivacaine Hydrochloride","Postoperative opioid consumption, Postoperative opioid consumption within first five postoperative days, reported as average mg/day in morphine equivalents., Postoperative days 0 through 5","ALL","ADULT, OLDER_ADULT","PHASE2|PHASE3",120,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT","2024-01-11","2025-01-11","2025-04-05","2023-10-11","","2024-01-26","Rutgers RWJMS, New Brunswick, New Jersey, 08903, United States","drug"
"445","NCT05928039","PATHFINDER: Evaluating the Optimal First-Line Treatment Strategy for Moderate-to-Severely Active Ileal-dominant Crohn's Disease","RECRUITING","There are currently three classes of biologic treatments approved in Canada for the management of moderate-to-severe Crohn's disease: anti-tumor necrosis factor \[TNF\] alpha, anti-integrin, and anti-interleukin \[IL\]-23 targeted agents. The purpose of this trial is to determine which of these three classes of biologics results in the highest percentage of patients with small bowel (ileal) Crohn's disease entering into endoscopic remission without needing corticosteroids at 1 year. Endoscopic remission means that the ulcers in the small bowel from Crohn's disease have healed. All treatments in this trial are approved by Health Canada. No experimental drugs will be included.","NO","Crohn Disease","BIOLOGICAL: TNFa Antagonist - Infliximab|BIOLOGICAL: TNFa Antagonist - Adalimumab|BIOLOGICAL: Anti-IL12/23 or anti-IL23 - Ustekinumab|BIOLOGICAL: Anti-IL12/23 or anti-IL23 - Risankizumab|BIOLOGICAL: Anti-integrin - Vedolizumab IV|BIOLOGICAL: Anti-integrin - Vedolizumab IV and SC","Corticosteroid-free endoscopic remission, SES-CD ≤4, ileal segment SES-CD ≤2, and no ulcers in any segment \>5 mm, off corticosteroids for ≥ 16 weeks, 1 year","ALL","ADULT, OLDER_ADULT","PHASE4",297,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT","2023-10-25","2027-07-30","2028-12-31","2023-07-03","","2023-12-08","University of Calgary, Calgary, Alberta, Canada","biological"
"446","NCT06319222","Implementation of a Digital Clinic for Alcohol-associated Liver Disease and Alcohol Use Disorder (DALC): A Randomized Pragmatic Clinical Trial","RECRUITING","The purpose of this study is to determine whether a multidisciplinary digital clinic will improve health outcomes, reduce costs, increase access, and improve provider satisfaction.

The primary aim of this study is to improve clinical outcomes in patients with ALD through the implementation of a novel digital health platform for personalized multi-disciplinary treatment of patients with ALD and AUD. Secondary aims include improvement in provider and patient-reported outcomes including satisfaction with AUD treatment.","NO","Alcohol Use Disorder|Liver Diseases","OTHER: DALC Digital Clinic","Improve Clinical Outcomes, The primary aim of this study is to improve clinical outcomes in patients with ALD through the implementation of a novel digital health platform for personalized multi-disciplinary treatment of patients with ALD and AUD., 6 months","ALL","ADULT, OLDER_ADULT",NA,40,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE","2024-03-12","2024-09","2025-04","2024-03-19","","2024-03-19","Mayo Clinic Arizona, Scottsdale, Arizona, 85259, United States|Mayo Clinic, Rochester, Minnesota, 55905, United States","other"
"447","NCT04961762","Navigator Program for Homeless Adults","RECRUITING","Individuals experiencing homelessness often have complex health and social needs. This population also faces disproportionate systemic barriers to accessing health care services and social supports, such as not having primary care providers, needing to meet other competing priorities, and difficulties affording medications. These barriers contribute to discontinuities in care, poor health outcomes, and high acute healthcare utilization after hospitalization among this population. This randomized controlled trial aims to evaluate the effect of a case management intervention (the Navigator program) for individuals experiencing homelessness who have been admitted to hospital for medical conditions. This study will examine outcomes over a 180-day period after hospital discharge, including follow-up with primary care providers, acute healthcare utilization, quality of care transitions, and overall health.","NO","Homeless Persons|Case Management|Primary Care|Hospital Readmission","OTHER: Navigator Program","Follow-Up with Primary Care Provider (PCP), Occurrence of a follow-up visit with a PCP (family physician or nurse practitioner). In-person encounters (e.g., ambulatory clinics, shelter clinics, and community health centers), virtual encounters (with video), and phone calls (without video) will be considered as follow-up visits. These modes of PCP follow-up are consistent with those outlined by quality standards from Health Quality Ontario. The investigators will ascertain PCP follow-up through both participant self-report at the 30-day interview and by contact with the PCP office. Ascertainment will be based on the PCP office's report if the participant is unreachable, or by participant self-report if the PCP office is unreachable. In the event of any discrepancy, the report of the PCP office will take precedence over participant self-report., Within 14 Days of Discharge","ALL","ADULT, OLDER_ADULT",NA,640,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: HEALTH_SERVICES_RESEARCH","2021-10-18","2024-04","2024-04","2021-07-14","","2023-11-29","St. Michael's Hospital, Toronto, Ontario, M5B1W8, Canada","other"
"448","NCT01458457","Life Quality and Mental State in Patients With Breast Cancer","COMPLETED","Randomized pragmatic trial to evaluate the comparative effectiveness regarding disease specific quality of life of an individualized additional complementary medicine treatment in addition to usual care with usual care only in 280 women with breast cancer","NO","Breast Cancer","OTHER: Individualized complementary medicine treatment|OTHER: Individualized usual care","Functional Assessment of Cancer Therapy - Breast Cancer (FACT-B), 6 months","FEMALE","CHILD, ADULT, OLDER_ADULT","PHASE4",275,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT","2011-05","2012-12","2013-07","2011-10-24","","2015-02-16","Meran Hospital - Dienst fuer Komplementaermedizin, Meran, 39012, Italy","other"
"449","NCT04539457","Managing Appropriate Prescribing in COPD","COMPLETED","Objective: Reducing inappropriate medications for primary care COPD patients with comorbidities ('medication-comorbidity clashes'), by evaluation of the Desktop Helper (number 10) in a pragmatic cluster randomized controlled trial.

Study design: A four-arm pragmatic cluster randomized controlled trial (cluster RCT), which will be conducted in GP practices in the Netherlands. In the cluster RCT, the control condition (arm 1: care as usual) will be compared with three intervention arms (i.e. arm 2: the 'Desktop Helper (number 10)' , arm 3: an e-learning module, and arm 4: the 'Desktop Helper (number 10)' accompanied by the e-learning module). At baseline and at 26 weeks of follow-up, a data-extraction of comorbidities and prescribed medications will be obtained from the EMR of participating GP practices.

Study population: Primary care patients with COPD who have 1 or more comorbidities and who are prescribed one or more medications.

Intervention (if applicable): Clinical rules to remediate 'medication-comorbidity clashes' as outlined in the 'Desktop Helper (number 10)'. These clinical rules will be implemented in the EMR to enable the identification of patients with 'medication-comorbidity clashes'. In addition, e-learning about these 'medication-comorbidity clashes' will be offered depending on the treatment arm of the trial.

Main study parameters/endpoints: The number of 'medication-comorbidity clashes'.","NO","COPD|Comorbidities and Coexisting Conditions","BEHAVIORAL: Desktop helper|BEHAVIORAL: E-learning","Percentage of COPD patients with one or more 'medication-comorbidity clashes', The primary outcome of the study is the percentage of COPD patients with one or more 'medication-comorbidity clashes' (i.e. undesired interactions between medications for COPD and comorbid conditions)., 26 weeks","ALL","ADULT, OLDER_ADULT",NA,24,"NETWORK","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: FACTORIAL|Masking: DOUBLE (INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION","2021-06-16","2022-12-01","2022-12-01","2020-09-07","","2023-02-24","General Practitioners Research Institute, Groningen, Netherlands","behavioral"
"450","NCT03996057","Methenamine in a Non-antibiotic, Multimodal Approach to UTI Prevention","WITHDRAWN","Urinary tract infections (UTIs) are the most common bacterial infection and are especially common in postmenopausal women, who often experience recurrent UTIs. Women with recurrent UTIs are commonly treated with antibiotics, but side effects, collateral damage to commensal bacteria, and antimicrobial resistance result from frequent antibiotic use. It is paramount that researchers develop non-antibiotic treatment strategies for UTIs.

Several non-antibiotic strategies may be successful in preventing recurrent UTIs in postmenopausal women, including low-dose vaginal estrogen, d-mannose, and methenamine hippurate. Methenamine hippurate (MH) is interesting as it causes few side effects, kills bacteria by denaturing bacterial proteins, RNA, and DNA, and does not develop resistance. Several studies have demonstrated the efficacy of daily methenamine on the incidence of UTI. However, women often require multiple therapies in order to prevent recurrence. There are currently few guidelines to help clinicians identify optimal treatment regimens for non-antibiotic prevention of UTI.

The purpose of this pilot study is to examine the feasibility of developing a sequential, multiple assignment, randomization trial (SMART); and examine the treatment effect of MH in combination with vaginal estrogen (VET) and D-mannose on prevention of UTI. The investigators plan to examine the efficacy of the addition of MH to low dose VET and d-mannose in the UTI prevention through randomization to MH + VET + D-mannose vs continuing VET + D-mannose alone. The primary outcome will be the proportion of patients who have symptomatic, culture-proven UTI during a 3 month treatment period. The investigators hypothesize that women on low dose VET, d-mannose, and MH will be less likely to have recurrent UTI than those with VET and d-mannose alone.

This study uses a pragmatic, longitudinal approach that mimics patients' clinical experiences and physicians' decision points during management of UTI prophylaxis. Through this randomized, controlled pilot study, this proposal would allow the investigators to examine the feasibility of conducting a larger-scale, adaptive study trial, and estimate the treatment effect of a non-antibiotic regimen augmented with MH in women who continue to develop recurrence.","NO","UTI|Female Urogenital Diseases|UTI - Lower Urinary Tract Infection","DRUG: Methenamine Hippurate 1000 MG|DRUG: Vaginal estrogen|DIETARY_SUPPLEMENT: D-mannose","Culture proven, symptomatic urinary tract infection (UTI), Proportion of patients who have symptomatic, culture-proven UTI during a 3 month treatment period., 3 months|Recruitment rate, Proportion of patients approached who are eligible for the study and consent to participate vs those who do not agree to participate., Through study recruitment, an average of 1 year|Retention rate, Proportion of patients who finish the 3 months study versus those who are recruited, randomized, but do not complete the study., 3 months|Adherence, Average adherence to recommended dosage/frequency of vaginal estrogen, d-mannose, and methenamine hippurate use, as well as achievement of at least 75% adherence to medications., 3 months","FEMALE","ADULT, OLDER_ADULT","PHASE4",0,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION","2018-06-20","2022-02-11","2022-02-11","2019-06-24","","2022-07-08","","drug"
"451","NCT06199648","Digital Solutions for Elderly Care by Informal Caregivers","NOT_YET_RECRUITING","The study aims to determine the benefits of a web-based documentation and advice for elderly people and their caregivers. It is a randomized controlled trial with two arms (intervention, control). While the participants will be supported by a web-based application within the intervention, they will receive standard care only in the control. In addition, a follow-up until the end of the study will be realized.","NO","Activities of Daily Living","OTHER: web-based documentation and advice","Mean change in function and disability of the elderly participant estimated with Barthel Index (BI), The BI assesses the functional status and independence in basic activities of daily living (ADL) of elderly people. Each domain is scored on a 0-5 or 0-10 scale, with the overall score ranging from 0 to 100. A higher score represents a higher level of independence. The BI will be rated by the study staff. The Hamburg Classification Manual provides detailed criteria for scoring., 104 Weeks","ALL","ADULT, OLDER_ADULT",NA,132,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: SUPPORTIVE_CARE","2024-01-08","2024-07-30","2025-12-31","2024-01-10","","2024-01-10","","other"
"452","NCT05974774","Intermittent Androgen Deprivation Therapy in the Era of AR Pathway Inhibitors","NOT_YET_RECRUITING","This study addresses the global topic of treatment optimization, i.e. achieving similar benefit while reducing the duration of treatment, hence hoping to decrease the burden of side-effects, improve quality-of life and reduce resource utilization.

The primary goal of de-escalation is to investigate whether using an intermittent regime results in a similar OS to continuous treatment.","NO","Prostate Cancer","DRUG: iMAB|DRUG: cMAB","overall survival, the overall survival (OS) at 3 years using an iMAB regimen is non-inferior to continuous treatment., 3 years from randomisation|proportion of patients who do not restart their hormonal therapy within 1 year of interrupting their MAB therapy (given as part of the induction phase), proportion of patients who do not restart within 1 year of interrupting their MAB therapy (given as part of the induction phase) is not less than 70%, 1 year from stopping the MAB therapy","MALE","ADULT, OLDER_ADULT","PHASE3",1600,"NETWORK","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT","2024-06-15","2029-09-15","2030-12-15","2023-08-03","","2024-03-08","","drug"
"453","NCT04569474","Peripheral IV Dressing and Phlebitis in Patients From Amazon","COMPLETED","Pragmatic, randomized, single-blinded, controlled clinical trial of the effect of dressing and stabilization of peripheral intravenous catheters on the occurrence of phlebitis in adult patients attended at a hospital from the Western Brazilian Amazon.","NO","Phlebitis|Catheter Complications","DEVICE: Transparent dressing","Phlebitis, Vein inflamation measure by Scale Grades from Infusion Nursing Society rating from zero (absence) to 4 (severe phlebitis), Unitl day 7 of catheter placement and study participation","ALL","ADULT, OLDER_ADULT",NA,330,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION","2018-05-06","2019-09-10","2020-07-06","2020-09-29","","2020-09-29","Federal University of São Paulo, São Paulo, 04024002, Brazil|Universidade Federal de São Paulo, São Paulo, 04024002, Brazil","device"
"454","NCT01519518","How Effective Are Antithrombotic Therapies in Primary Percutaneous Coronary Intervention","COMPLETED","The purpose of this study is to compare unfractionated heparin (UFH) and bivalirudin in the performance and subsequent outcomes of Primary percutaneous coronary intervention. This will be a pragmatic trial. Interventional procedures will be performed to reflect current and evolving standards, including predominant radial access. All patients will be treated with routine oral anti-platelet therapy pre-procedure. GP IIb/IIIa inhibitors will be reserved for 'bail out' treatment only.","YES","Acute ST Elevation Myocardial Infarction","DRUG: unfractionated heparin|DRUG: Bivalirudin","Major Adverse Cardiac Events (MACE) in Terms of the Incidence of All Cause Mortality, Cerebrovascular Accident, Re-infarction and Additional Unplanned Target Lesion Revascularization, 28 days|Type 3-5 Bleeding According to BARC (Bleeding Academic Research Consortium)Definition, 28 days","ALL","ADULT, OLDER_ADULT","PHASE4",1829,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT","2012-02","2013-12","2013-12","2012-01-27","2015-04-07","2015-05-13","Liverpool Heart and Chest Hospital, Liverpool, Merseyside, L14 3PE, United Kingdom","drug"
"455","NCT06112418","A Randomized Comparison of Stage-Based Care Versus Risk Factor-Based Care for Prevention of Cardiovascular Events","RECRUITING","TRANSFORM is a prospective, randomized, open blinded endpoint (PROBE), event-driven, pragmatic trial in patients who are at increased risk for atherosclerotic cardiovascular (CV) disease but with no known symptomatic CV disease. The trial tests the hypothesis that a Cleerly Coronary Artery Disease (CAD) Staging System-based care strategy reduces CV events compared with risk factor-based care.","NO","Diabetes Mellitus, Type 2|PreDiabetes|Metabolic Syndrome","DEVICE: The Cleerly CAD Staging System","The primary objective is to compare Cleerly stage-based care with risk factor-based care on the risk of CV events., The primary endpoint is total (first and subsequent) events for the composite endpoint of CV death, myocardial infarction (MI), ischemic stroke, acute limb ischemia, clinically driven arterial revascularization, and hospitalization or urgent visit for heart failure., Through study completion- an average of 3.5 years","ALL","ADULT, OLDER_ADULT",NA,7500,"INDUSTRY","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION","2024-03-06","2029-03-05","2029-03-05","2023-11-01","","2024-03-12","University of Colorado, Aurora, Colorado, 80045, United States","device"
"456","NCT03578419","Small-Volume Tubes to Reduce Anemia and Transfusion","ACTIVE_NOT_RECRUITING","STRATUS will evaluate the use of small-volume (""soft-draw"") blood collection tubes for laboratory testing in reducing anemia and transfusion in intensive care unit patients without significant adverse consequences. This is a simple, cost-neutral intervention that could improve the quality of patient care and reduce the harms of frequent laboratory testing.","NO","Blood Loss Anemia","DEVICE: Small-Volume Blood Collection Tubes|DEVICE: Standard-Volume Blood Collection Tubes","RBC Transfusions, Average number of red blood cell (RBC) units transfused per patient during ICU admission among patients admitted to ICU for 48 hours or longer., through study completion, an average of 1.5 years","ALL","ADULT, OLDER_ADULT",NA,10000,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: PREVENTION","2019-01-01","2021-01-21","2024-01-30","2018-07-06","","2024-01-19","University of Manitoba - Health Sciences Centre, Winnipeg, Manitoba, Canada|Saint John Regional Hospital, Saint John, New Brunswick, Canada|William Osler Health System - Brampton Civic, Brampton, Ontario, Canada|Joseph Brant Hospital, Burlington, Ontario, Canada|William Osler Health System - Etobicoke General, Etobicoke, Ontario, Canada|Hamilton General Hospital, Hamilton, Ontario, L8L 2X2, Canada|Juravinski Cancer Centre, Hamilton, Ontario, Canada|St. Joseph's Hospital, Hamilton, Ontario, Canada|London Health Sciences Centre - CCTC, London, Ontario, Canada|London Health Sciences Centre - University Hospital, London, Ontario, Canada|St. Catharine's General Hospital, Saint Catherines, Ontario, Canada|Hôtel-Dieu de Lévis, Lévis, Quebec, Canada|CHUM - AB cardiothoracic, Montreal, Quebec, Canada|CHUM - CD transplants/surgical ICU, Montreal, Quebec, Canada|CHUM - EF neuro ICU, Montreal, Quebec, Canada|Maisonneuve-Rosemont, Montreal, Quebec, Canada|Royal Victoria Hospital, Montreal, Quebec, Canada|Montreal General Hospital, Montréal, Quebec, Canada|CHU de Quebec - Enfant-Jésus, Québec, Quebec, Canada|Universite de Sherbrooke - Hopital Fleurimont, Sherbrooke, Quebec, Canada|Universite de Sherbrooke - Hôtel-Dieu, Sherbrooke, Quebec, Canada|Ciuss-McQ-Chaur, Trois-Rivières, Quebec, Canada|CHU de Quebec - Hotel Dieu, Quebec, Canada|Institut Universitaire de Cardiologie et de Pneumologie de Québec, Quebec, Canada","device"
"457","NCT00110318","Trial of Physiotherapy and Corticosteroid Injections in Lateral Epicondylalgia","COMPLETED","This randomised controlled trial will evaluate the role of manual therapy and therapeutic exercise and corticosteroid injections in the treatment of lateral epicondylalgia (tennis elbow).","NO","Tennis Elbow|Musculoskeletal Diseases","PROCEDURE: Manual therapy and therapeutic exercise|PROCEDURE: Corticosteroid injections","General improvement|Assessors assessment of severity|Pain free grip strength","ALL","ADULT, OLDER_ADULT","PHASE3",198,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE|Primary Purpose: TREATMENT","2002-03","2006-09","2006-09","2005-05-06","","2013-12-11","Musculoskeletal Pain & Injury Research Unit, Division of Physiotherapy, The University of Queensland, Brisbane, Queensland, 4072, Australia","procedure"
"458","NCT05507619","Heat and Acupuncture Randomised Controlled Trial to Manage Osteoarthritis of the Knee","NOT_YET_RECRUITING","Knee osteoarthritis (KOA) is one of the largest and fast-growing causes of pain, impaired mobility, and poor quality of life in the elderly worldwide. Despite a significant increase in Traditional Chinese Medicine (TCM) utilisation, in particular acupuncture, as first or second-line treatment among local KOA patients, there exists a lack of high-quality evidence on its efficacy and local practice guidelines for TCM use in KOA tailored to our specific population demographic.

HarmoKNEE trial aims to address these gaps by evaluating the short and medium-term clinical and cost-effectiveness of TCM acupuncture with far-infrared heat therapy in addition to standard care, compared to standard care alone. Through a robust process and economic evaluation, the investigators aim to inform evidence-based practice for KOA patients in Singapore to facilitate the large-scale implementation of a comprehensive and holistic model of care which harmonises elements from Western medicine and TCM.

The investigators hypothesize that acupuncture with heat therapy as an adjunct to standard care is clinically more effective than standard care alone.

This will be a multi-centre pragmatic, parallel-arm, single-blinded, effectiveness-implementation hybrid randomised control trial. KOA patients will be randomised to either the control arm (standard care only) or intervention arm (biweekly sessions of acupuncture with heat therapy over 6 weeks, in addition to standard care).

A mixed-method approach through an embedded process evaluation will facilitate large scale implementation. An economic evaluation will be performed to evaluate financial sustainability","NO","Osteoarthritis, Knee","OTHER: Acupuncture with Heat Therapy + Standard Care|OTHER: Standard Care","Knee Osteoarthritis Outcome Score (KOOS-12), Derived from the original 42-item Knee injury and Osteoarthritis Outcome Score (KOOS), KOOS-12 reduces respondent burden by 70% from the original KOOS while providing scale scores for knee-specific Pain, Function and QOL, along with a summary measure of overall knee impact. The KOOS sub scales are scored using the method of summated ratings and transformed to range from 0 to 100, with 0 representing extreme knee problems and 100 representing no knee problem. The KOOS-12 Summary knee impact score is calculated as the average of the KOOS-12 Pain, KOOS-12 Function and KOOS-12 QOL scale scores. It also ranges from 0 to 100, where 0 is the worst possible and 100 is the best possible score., Baseline, Change from Baseline to 6 weeks, Change from Baseline to 3 months, Change from Baseline to 6 months","ALL","ADULT, OLDER_ADULT",NA,173,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT","2022-08-17","2024-07-31","2024-07-31","2022-08-19","","2022-08-19","Singapore Chung Hwa Medical Institution, Singapore, Singapore|Tan Tock Seng Hospital, Singapore, Singapore","other"
"459","NCT06117618","Sepsis Electronic Prompting for Timely Intervention and Care for Inpatients","ENROLLING_BY_INVITATION","The goal of this clinical trial is to study systemic inflammatory response syndrome (SIRS) electronic health record (EHR) alerts for sepsis in the inpatient setting. The main question it aims to answer is: do nurse alerts, prescribing clinician alerts, or both nurse and prescribing clinician alerts improve time to sepsis treatment for patients in the inpatient setting?

Nurses and prescribing clinicians will receive SIRS alerts based on the group to which the patient is randomly assigned. Researchers will compare four groups: no alerts, nurse alerts only, prescribing clinician alerts only, or both nurse and prescribing clinician alerts.","NO","Sepsis|Electronic Health Records|Clinical Decision Support Systems","OTHER: Nurse SIRS alert|OTHER: Prescribing clinician SIRS alert","Percentage of patients treated with Surviving Sepsis Campaign (SSC) hour-1 bundle, The primary outcome is whether a patient receives a modified SSC hour-1 bundle within three hours from the time of first SIRS alert. The modified SSC hour-1 bundle includes (1) lactate lab collected, (2) two blood cultures collected, (3) new intravenous antimicrobial administration (from the Centers for Disease Control and Prevention (CDC) Adult Sepsis Event (ASE) list). Patients will be tallied., Up to 3 hours","ALL","ADULT, OLDER_ADULT",NA,7200,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: FACTORIAL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: HEALTH_SERVICES_RESEARCH","2023-11-14","2024-04","2024-07","2023-11-07","","2023-11-30","NewYork-Presbyterian Hospitals, New York, New York, 10032, United States","other"
"460","NCT03681119","The Hospice Advanced Dementia Symptom Management and Quality of Life Trial","COMPLETED","Alzheimer's Disease and Related Disorders (dementia) are a group of serious life limiting illness that cause significant challenges to our public health system, with significant illness burden for both the person with dementia and the caregiver. At the end of life, over 230,000 persons with dementia annually are cared for in hospice, yet hospice agencies are ill prepared to care for this population and often resort to inappropriate pharmacologic measures such as antipsychotics that reduce quality of life rather than improve it. This study will therefore through its two phases refine and then implement, using a pragmatic stepped wedge trial design, the Dementia Symptom Management at Home Program Hospice Edition, with the goal improving quality of care for the person with dementia and their caregiver, reducing antipsychotic use, and increasing bereaved caregiver satisfaction in the hospice setting.","YES","Dementia","BEHAVIORAL: Dementia symptom management at home hospice edition|BEHAVIORAL: Education and Training","Percentage of Hospice IDT Members Who Complete Required Education and Training, Percentage of Hospice IDT Members who Complete Required Education and Training, 2 Months","ALL","ADULT, OLDER_ADULT",NA,83,"OTHER","INTERVENTIONAL","Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE","2019-02-11","2019-06-12","2019-06-12","2018-09-21","2020-07-07","2020-08-13","New York University School of Medicine, New York, New York, 10016, United States","behavioral"
"461","NCT04615819","Access to Kidney Transplantation in Minority Populations","RECRUITING","Hispanic/Latino (HL) and American Indian (AI) patients are more likely than whites to have kidney failure, but less likely to complete transplant evaluation or receive a kidney transplant (KT), the best treatment for kidney failure. Using comparative effectiveness research methods, we will conduct a pragmatic randomized trial to compare the efficacy and cost- effectiveness of two approaches to help HL and AI patients overcome barriers to completing transplant evaluation and receiving a KT: a streamlined KT evaluation process and a peer-assisted evaluation program; and, we will determine best practices to assist other transplant centers in implementing the better program. Findings from this work may help reduce disparities in transplant evaluation and KT.","NO","Kidney Diseases","OTHER: Kidney Transplant Fast Track (KTFT)|OTHER: Peer Navigation (PN)","Rate of KT evaluation completion, Completion of evaluation for KT and placement on the transplant waiting list., Through study completion, an average of 1 year","ALL","ADULT, OLDER_ADULT",NA,398,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE","2022-01-11","2026-12-31","2026-12-31","2020-11-04","","2023-12-04","University of New Mexico, Albuquerque, New Mexico, 87131, United States","other"
"462","NCT01506219","Geriatrician-performed Comprehensive Geriatric Care in an Outpatient Community Rehabilitation Unit","COMPLETED","Introduction:

Older adults with multiple illnesses represent the fastest growing sector of society and make increasing demands on all sectors of the health care system, particularly in outpatient community rehabilitation units due to shorter time of stay in acute care units and hospitals. The aim of this study is to investigate the effect of geriatrician-performed comprehensive geriatric care (CGC) in older people referred to an outpatient community rehabilitation unit.

Methods:

The study is a prospective randomized controlled trial. Settings: two community care rehabilitation units in Aarhus Municipality, Denmark. Inclusion: persons aged 65 and older from home or hospital. Exclusion: persons who received palliative care or had been assessed by a geriatrician during the past month. Intervention: medical history, physical examination, blood tests, medication adjustment and related treatments performed by a geriatrician. Control: usual care in a community rehabilitation unit. Number of hospital admissions and emergency department (ED) visits (primary outcome), number of GP contacts, activities of daily living, physical and cognitive functioning, quality of life, data on institutionalization, medication status, and mortality are assessed at day 30 and 90 after arrival at the rehabilitation unit.

Project status:

The outpatient CGC model is developed, implemented and compared with usual care in a pragmatic RCT.","NO","Fragility","PROCEDURE: Geriatrician-performed CGC","Number of hospital admissions and ED visits (the secondary healthcare utilization), Numbers of all hospital admissions and ED visits, At 90 days after admission to the rehabilitation units","ALL","OLDER_ADULT",NA,368,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT","2012-01-17","2015-05-29","2017-06-30","2012-01-09","","2018-01-23","Department of Geriatrics, Aarhus University Hospital, Aarhus, 8000, Denmark|Rehabilitation Unit Vikaergaarden and Thorsgaarden, Aarhus, 8240, Denmark","procedure"
